Sıra No,Çevre Kimlik No,İşletme Adı,Tesisi İli,İşletme Adres,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,Sertifika Süresi
3,227156722,RDF KONTAMİNE ATIK BERTARAF VE GERİ KAZANIM SANAYİ TİCARET ANONİM ŞİRKETİ ADANA ŞUBESİ,ADANA,"İncirlik Cumhuriyet Mahallesi Çimento Bulvarı No:37/F, Yüreğir / ADANA",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2020-09-18 00:00:00,2025-09-23 00:00:00
3,227156722,RDF KONTAMİNE ATIK BERTARAF VE GERİ KAZANIM SANAYİ TİCARET ANONİM ŞİRKETİ ADANA ŞUBESİ,ADANA,"İncirlik Cumhuriyet Mahallesi Çimento Bulvarı No:37/F, Yüreğir / ADANA", Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2020-09-18 00:00:00,2025-09-23 00:00:00
4,227916276,ERAL ATIK YÖNETİM ANONİM ŞİRKETİ,KOCAELİ,"KARADENİZLİLER Mahallesi, BAŞYİĞİT CADDE, No: 192-1, BAŞİSKELE/KOCAELİ",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2020-11-20 00:00:00,2025-05-15 00:00:00
4,227916276,ERAL ATIK YÖNETİM ANONİM ŞİRKETİ,KOCAELİ,"KARADENİZLİLER Mahallesi, BAŞYİĞİT CADDE, No: 192-1, BAŞİSKELE/KOCAELİ",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2020-11-20 00:00:00,2025-05-15 00:00:00
5,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT DEPOLAMA LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2020-04-03 00:00:00,2025-04-03 00:00:00
5,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT DEPOLAMA LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2020-04-03 00:00:00,2025-04-03 00:00:00
5,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT DEPOLAMA LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN", Atık Elektrikli ve Elektronik Eşya İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2020-04-03 00:00:00,2025-04-03 00:00:00
5,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT DEPOLAMA LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN", Atık Ara Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2020-04-03 00:00:00,2025-04-03 00:00:00
5,260554530,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT DEPOLAMA LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN,"Ferahimşalvuz Mahallesi, 1627 Sokak, No: 4A - 4B, TARSUS/MERSİN", Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2020-04-03 00:00:00,2025-04-03 00:00:00
6,233623256,UYTAŞ MADENCİLİK NAKLİYAT VE TARIM ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,BALIKESİR,"Edincik Mahallesi, Alibey Mezarlığı Küme Evler, No:42-, Bandırma/BALIKESİR",Tehlikesiz Atık Geri Kazan,Hava Emisyon,İzin ve Lisans Belgesi,2020-10-02 00:00:00,2025-04-02 00:00:00
7,227313064,YEŞİLENERJİ BERTARAF GERİ KAZANIM SANAYİ VE TİCARET ANONİM ŞİRKETİ,SAKARYA,"TAŞLIK Mahallesi, KOZLUK CADDE, No: 16-, ADAPAZARI/SAKARYA",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2021-03-18 00:00:00,2024-11-15 00:00:00
7,227313064,YEŞİLENERJİ BERTARAF GERİ KAZANIM SANAYİ VE TİCARET ANONİM ŞİRKETİ,SAKARYA,"TAŞLIK Mahallesi, KOZLUK CADDE, No: 16-, ADAPAZARI/SAKARYA",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2021-03-18 00:00:00,2024-11-15 00:00:00
7,227313064,YEŞİLENERJİ BERTARAF GERİ KAZANIM SANAYİ VE TİCARET ANONİM ŞİRKETİ,SAKARYA,"TAŞLIK Mahallesi, KOZLUK CADDE, No: 16-, ADAPAZARI/SAKARYA", Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2021-03-18 00:00:00,2024-11-15 00:00:00
8,232125702,DENİZGRUP ATIK YÖNETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TEKİRDAĞ,"TEKİRDAĞ,VELİMEŞE Mahallesi, YENİ BAHAR SOKAK, No: 15-, ERGENE,Türkiye",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2018-09-10 00:00:00,2023-09-10 00:00:00
8,232125702,DENİZGRUP ATIK YÖNETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TEKİRDAĞ,"TEKİRDAĞ,VELİMEŞE Mahallesi, YENİ BAHAR SOKAK, No: 15-, ERGENE,Türkiye",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2018-09-10 00:00:00,2023-09-10 00:00:00
8,232125702,DENİZGRUP ATIK YÖNETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TEKİRDAĞ,"TEKİRDAĞ,VELİMEŞE Mahallesi, YENİ BAHAR SOKAK, No: 15-, ERGENE,Türkiye", Atık Ara Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2018-09-10 00:00:00,2023-09-10 00:00:00
9,228789084,HERA GERİ KAZANIM VE DENİZCİLİK HİZMETLERİ SAN. VE TİC. LTD. ŞTİ.,KOCAELİ,"Şevkatiye Mah., Ülker Sok., No: 106 -, Kartepe, KOCAELİ",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,Geçici Faaliyet Belgesi,2022-07-21 00:00:00,2023-07-21 00:00:00
9,228789084,HERA GERİ KAZANIM VE DENİZCİLİK HİZMETLERİ SAN. VE TİC. LTD. ŞTİ.,KOCAELİ,"Şevkatiye Mah., Ülker Sok., No: 106 -, Kartepe, KOCAELİ",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,Geçici Faaliyet Belgesi,2022-07-21 00:00:00,2023-07-21 00:00:00
9,228789084,HERA GERİ KAZANIM VE DENİZCİLİK HİZMETLERİ SAN. VE TİC. LTD. ŞTİ.,KOCAELİ,"Şevkatiye Mah., Ülker Sok., No: 106 -, Kartepe, KOCAELİ", Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,Geçici Faaliyet Belgesi,2022-07-21 00:00:00,2023-07-21 00:00:00
9,228789084,HERA GERİ KAZANIM VE DENİZCİLİK HİZMETLERİ SAN. VE TİC. LTD. ŞTİ.,KOCAELİ,"Şevkatiye Mah., Ülker Sok., No: 106 -, Kartepe, KOCAELİ", Tehlikeli Atık Ön İşleme Tesisleri,Hava Emisyon,Geçici Faaliyet Belgesi,2022-07-21 00:00:00,2023-07-21 00:00:00
9,228789084,HERA GERİ KAZANIM VE DENİZCİLİK HİZMETLERİ SAN. VE TİC. LTD. ŞTİ.,KOCAELİ,"Şevkatiye Mah., Ülker Sok., No: 106 -, Kartepe, KOCAELİ", Tehlikesiz Atık Ön İşleme Tesisleri,Hava Emisyon,Geçici Faaliyet Belgesi,2022-07-21 00:00:00,2023-07-21 00:00:00
10,249771606,SELAMİ ENGİN - GEREDE ŞUBESİ,BOLU,"Demirciler Mah. OSB 4. Nolu Cad. No:12, Gerede / BOLU",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-09-02 00:00:00,2023-03-23 00:00:00
10,249771606,SELAMİ ENGİN - GEREDE ŞUBESİ,BOLU,"Demirciler Mah. OSB 4. Nolu Cad. No:12, Gerede / BOLU",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-09-02 00:00:00,2023-03-23 00:00:00
10,249771606,SELAMİ ENGİN - GEREDE ŞUBESİ,BOLU,"Demirciler Mah. OSB 4. Nolu Cad. No:12, Gerede / BOLU", Ambalaj Atığı Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2022-09-02 00:00:00,2023-03-23 00:00:00
10,249771606,SELAMİ ENGİN - GEREDE ŞUBESİ,BOLU,"Demirciler Mah. OSB 4. Nolu Cad. No:12, Gerede / BOLU", Atık Yakmaa ve Beraber Yakma,Hava Emisyon,İzin ve Lisans Belgesi,2022-09-02 00:00:00,2023-03-23 00:00:00
10,249771606,SELAMİ ENGİN - GEREDE ŞUBESİ,BOLU,"Demirciler Mah. OSB 4. Nolu Cad. No:12, Gerede / BOLU", Atık Elektrikli ve Elektronik Eşya İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2022-09-02 00:00:00,2023-03-23 00:00:00
10,249771606,SELAMİ ENGİN - GEREDE ŞUBESİ,BOLU,"Demirciler Mah. OSB 4. Nolu Cad. No:12, Gerede / BOLU", Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2022-09-02 00:00:00,2023-03-23 00:00:00
10,249771606,SELAMİ ENGİN - GEREDE ŞUBESİ,BOLU,"Demirciler Mah. OSB 4. Nolu Cad. No:12, Gerede / BOLU", Toplama Ayırma Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2022-09-02 00:00:00,2023-03-23 00:00:00
11,223350230,RDF KONTAMİNE ATIK BERTARAF VE GERİ KAZANIM SANAYİ TİCARET ANONİM ŞİRKETİ KURUTMA ŞUBESİ,KOCAELİ,"KARADENİZLİLER Mahallesi, BAŞYİĞİT CADDE, No: 162 A-, BAŞİSKELE / KOCAELİ",Tehlikeli Atık Ön İşleme Tesisleri,Hava Emisyon,Geçici Faaliyet Belgesi,2022-02-17 00:00:00,2023-02-17 00:00:00
11,223350230,RDF KONTAMİNE ATIK BERTARAF VE GERİ KAZANIM SANAYİ TİCARET ANONİM ŞİRKETİ KURUTMA ŞUBESİ,KOCAELİ,"KARADENİZLİLER Mahallesi, BAŞYİĞİT CADDE, No: 162 A-, BAŞİSKELE / KOCAELİ",Tehlikesiz Atık Ön İşleme Tesisleri,Hava Emisyon,Geçici Faaliyet Belgesi,2022-02-17 00:00:00,2023-02-17 00:00:00
12,231940076,2M ENERJİ GERİ KAZANIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SAKARYA,"SAKARYA,YENİ Mahallesi, SERVETİYE CADDE, No: 125 A-1, HENDEK,Türkiye",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2018-12-02 00:00:00,2023-12-02 00:00:00
12,231940076,2M ENERJİ GERİ KAZANIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SAKARYA,"SAKARYA,YENİ Mahallesi, SERVETİYE CADDE, No: 125 A-1, HENDEK,Türkiye",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2018-12-02 00:00:00,2023-12-02 00:00:00
13,261138630,EKOVAR ÇEVRE GRUP GERİ DÖNÜŞÜM ATIK DEPOLAMA İNŞAAT TAAHHÜT SANAYİ VE TİCARET ANONİM ŞİRKETİ İNCİRLİK ŞUBESİ,ANKARA,"İncirlik Mah., İncirlik Küme Evler, No:100-, Sincan / ANKARA",Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,Geçici Faaliyet Belgesi,2022-01-14 00:00:00,2023-01-14 00:00:00
13,261138630,EKOVAR ÇEVRE GRUP GERİ DÖNÜŞÜM ATIK DEPOLAMA İNŞAAT TAAHHÜT SANAYİ VE TİCARET ANONİM ŞİRKETİ İNCİRLİK ŞUBESİ,ANKARA,"İncirlik Mah., İncirlik Küme Evler, No:100-, Sincan / ANKARA",Tehlikeli Atık Ön İşleme Tesisleri,Hava Emisyon,Geçici Faaliyet Belgesi,2022-01-14 00:00:00,2023-01-14 00:00:00
13,261138630,EKOVAR ÇEVRE GRUP GERİ DÖNÜŞÜM ATIK DEPOLAMA İNŞAAT TAAHHÜT SANAYİ VE TİCARET ANONİM ŞİRKETİ İNCİRLİK ŞUBESİ,ANKARA,"İncirlik Mah., İncirlik Küme Evler, No:100-, Sincan / ANKARA", Tehlikesiz Atık Ön İşleme Tesisleri,Hava Emisyon,Geçici Faaliyet Belgesi,2022-01-14 00:00:00,2023-01-14 00:00:00
14,228112040,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş. - KOCAELİ ŞUBESİ,KOCAELİ,"UZUNÇİFTLİK Mahallesi, MİHRİBAN SOKAK, No: 17 A-1, KARTEPE / KOCAELİ",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,Geçici Faaliyet Belgesi,2021-10-10 00:00:00,2022-10-10 00:00:00
14,228112040,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş. - KOCAELİ ŞUBESİ,KOCAELİ,"UZUNÇİFTLİK Mahallesi, MİHRİBAN SOKAK, No: 17 A-1, KARTEPE / KOCAELİ",Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,Geçici Faaliyet Belgesi,2021-10-10 00:00:00,2022-10-10 00:00:00
14,228112040,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş. - KOCAELİ ŞUBESİ,KOCAELİ,"UZUNÇİFTLİK Mahallesi, MİHRİBAN SOKAK, No: 17 A-1, KARTEPE / KOCAELİ", Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,Geçici Faaliyet Belgesi,2021-10-10 00:00:00,2022-10-10 00:00:00
