Sıra No,Çevre Kimlik No,İşletme Adı,Tesis İli,İşletme Adres,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,Sertifika Süresi
5,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA", Ambalaj Atığı Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA", Ömrünü Tamamlamış Araç Geçici Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA", Tanker Temizlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA", Atık Elektrikli ve Elektronik Eşya İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA", PCB Arındırm,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
5,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA", Atık Ara Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
6,229611292,BEYSU ATIK YÖNETİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,DENİZLİ,"PINARKENT Mahallesi, 200 SOKAK, No: 15-, PAMUKKALE / DENİZLİ",Atık Ara Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2021-12-22 00:00:00,2026-12-22 00:00:00
6,229611292,BEYSU ATIK YÖNETİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,DENİZLİ,"PINARKENT Mahallesi, 200 SOKAK, No: 15-, PAMUKKALE / DENİZLİ",Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesis,Hava Emisyon,İzin ve Lisans Belgesi,2021-12-22 00:00:00,2026-12-22 00:00:00
7,223251050,İPEK MOBİLYA İMALAT İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞİRKETİ - ÇİNKOM ŞUBESİ,KAYSERİ,"ÖRENŞEHİR Mahallesi, ÖRENŞEHİR KÜME EVLER, No:1-, İNCESU / KAYSERİ",Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-26 00:00:00,2026-10-26 00:00:00
7,223251050,İPEK MOBİLYA İMALAT İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞİRKETİ - ÇİNKOM ŞUBESİ,KAYSERİ,"ÖRENŞEHİR Mahallesi, ÖRENŞEHİR KÜME EVLER, No:1-, İNCESU / KAYSERİ",Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-26 00:00:00,2026-10-26 00:00:00
8,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
8,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA",Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
8,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA", Tanker Temizlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
8,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA", Atık Elektrikli ve Elektronik Eşya İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
8,231171050,BURSA ENTEGRE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BURSA,"KAYAPA Mahallesi, SARI (530) CADDE, No: 17-1, NİLÜFER/BURSA", Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesis,Hava Emisyon,İzin ve Lisans Belgesi,2022-08-06 00:00:00,2026-10-26 00:00:00
9,230900206,YA-SE ÖZEL SAĞLIK PERSONEL HİZMETLERİ NAKLİYE TURİZM ENDÜSTRİYEL ATIK SANAYİ TİCARET LİMİTED ŞİRKETİ,BURSA,"TURANKÖY Mahallesi, TERKEŞLİ CADDE, No: 6-, KESTEL / BURSA",Atık Ara Depolam,,İzin ve Lisans Belgesi,2021-04-10 00:00:00,2026-04-10 00:00:00
10,290260050,MGD MARMARA GERİ DÖNÜŞÜM ENDÜSTRİ SANAYİ VE TİC.LTD.ŞTİ. - TURGUTLU ŞUBESİ,MANİSA,"SELVİLİTEPE Mahallesi, URAN YOLU SOKAK, No:13/A, TURGUTLU / MANİSA",Atık Ara Depolam,,İzin ve Lisans Belgesi,2021-08-09 00:00:00,2026-10-09 00:00:00
11,277891598,ÜÇ-LER GERİ DÖN. GEMİ SÖK. DEM. ÇEL. NAK. İNŞ. HAF. SAN. TİC. LTD.ŞTİ.- MANİSA ARA DEPOLAMA ŞUBESİ,MANİSA,"MURADİYE Mahallesi, 31 SOKAK, No: 21-, YUNUSEMRE / MANİSA",Atık Ara Depolam,,İzin ve Lisans Belgesi,2021-06-08 00:00:00,2026-06-08 00:00:00
12,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,ANKARA,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA",Atık Yakma ve Beraber Yakm,Hava Emisyon,İzin ve Lisans Belgesi,2021-07-30 00:00:00,2026-07-30 00:00:00
12,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,ANKARA,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA",Düzenli Depolama - 1. Sınıf (Tehlikeli Atık Düzenli Depolama,Hava Emisyon,İzin ve Lisans Belgesi,2021-07-30 00:00:00,2026-07-30 00:00:00
12,223499650,ITC INVEST TRADING & CONSULTING AG -TÜRKİYE ANKARA - SİNCAN ŞUBESİ,ANKARA,"Gökler Mahallesi, Gökler Küme Evler, No:237-, Ayaş - Sincan / ANKARA", Atık Ara Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2021-07-30 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE,Tehlikeli Atık Geri Kazanı,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, Tehlikesiz Atık Geri Kazanı,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, Ömrünü Tamamlamış Araç Geçici Depolam,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, Hurda Metal /ÖTA İşlem,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, Atık Elektrikli ve Elektronik Eşya İşlem,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, PCB Arındırm,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, Atık Ara Depolam,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, Toplama Ayırma Tesis,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
13,287108556,DİLEK GERİ DÖNÜŞÜM VE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,KIRIKKALE,Sağlık Mah. 282 Sokak No:9 A-1 Merkez/KIRIKKALE, Tehlikesiz Atık Ön İşlem Tesisler,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2026-07-30 00:00:00
14,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
14,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL",Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
14,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL", Tanker Temizlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
14,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL", Hurda Metal /ÖTA İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
14,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL", Atık Elektrikli ve Elektronik Eşya İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
14,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL", PCB Arındırm,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
14,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL", Atık Ara Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
14,280096342,KARAMAN KARDEŞLER METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ - SELİMPAŞA ŞUBESİ,İSTANBUL,"Selimpaşa Mah., 6205. Sok., No: 24 -, Silivri / İSTANBUL", Ambalaj Atığı Toplama ve Ayırma Tip ,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-27 00:00:00,2026-07-14 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE,Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE, Ambalaj Atığı Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE, Ömrünü Tamamlamış Araç Geçici Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE, Hurda Metal /ÖTA İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE, Atık Elektrikli ve Elektronik Eşya İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE, PCB Arındırm,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE, Atık Ara Depolam,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
15,275396608,CANER GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Organize Sanayi Bölgesi Mahallesi 20 Nolu Yol Cadde No: 7  Bor/NİĞDE, Ambalaj Atığı Toplama ve Ayırma Tip ,Hava Emisyon,İzin ve Lisans Belgesi,2022-04-26 00:00:00,2026-02-06 00:00:00
16,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
16,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Tehlikesiz Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
16,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Hurda Metal /ÖTA İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
16,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Atık Elektrikli ve Elektronik Eşya İşlem,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
16,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, PCB Arındırm,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
16,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesis,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
17,276241710,ÇELİKLER KONTEYNER ATIK YÖN.ELEKTR. ELEKTRİK İNŞ.NAKL. SAN. VE TİC.LTD.ŞTİ - SARAYKENT ŞUBESİ,ANKARA,"SARAY Mahallesi, 128 CADDE, No:13-, KAHRAMANKAZAN / ANKARA",Atık Ara Depolam,,İzin ve Lisans Belgesi,2021-01-02 00:00:00,2026-03-02 00:00:00
18,287016082,GÜRSOY İZABELİK GERİ DÖNÜŞÜM METAL NAKLİYAT İNŞAAT TİCARET LİMİTED ŞİRKETİ - ARA DEPOLAMA ŞUBESİ,ANKARA,"SARAY Mahallesi, 127 CADDE, No: 14 -1, KAHRAMANKAZAN / ANKARA",Atık Ara Depolam,,İzin ve Lisans Belgesi,2021-01-25 00:00:00,2026-01-26 00:00:00
19,227586594,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,ANKARA,"Saray Mah., Nazım Ercan Bulvar, No: 79-, Kahramankazan ANKARA",Tehlikeli Atık Geri Kazanı,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2025-11-18 00:00:00
19,227586594,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,ANKARA,"Saray Mah., Nazım Ercan Bulvar, No: 79-, Kahramankazan ANKARA", Ömrünü Tamamlamış Araç Geçici Depolam,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2025-11-18 00:00:00
19,227586594,AYDINLAR İZABE GERİ DÖNÜŞÜM İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,ANKARA,"Saray Mah., Nazım Ercan Bulvar, No: 79-, Kahramankazan ANKARA", Atık Elektrikli ve Elektronik Eşya İşlem,,İzin ve Lisans Belgesi,2022-04-29 00:00:00,2025-11-18 00:00:00
